,Age,Gender,AcademicStatus,TypeSocialMedia,HoursSMuse,FrqUse,SMCap_1,SMCap_2,EduOutcome,PerformanceExpentancy,EasyofUse,EffortExpentancy,SocialInfuence,SocialMediaRisk,FacilitatingConditions,SelfControl,BehaviouralIntentiontoUse,VountarinessofUse,Experience
415,more than 35,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,no
416,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,no
417,25-34,Male,Student - Full time,Facebook,Less than an hour,Rarely,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,no
418,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,yes
419,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Agree,yes
420,25-34,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,yes
421,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,yes
422,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Sometimes,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,no
423,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,yes
424,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,yes
425,25-34,Male,Student - Full time,Facebook,1-3 hours,Rarely,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,yes
426,more than 35,Female,Non Students,YouTube,1-3 hours,Often,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,yes
427,more than 35,Female,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,yes
428,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,yes
429,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,yes
430,18 - 24,Female,Student - Full time,YouTube,1-3 hours,Sometimes,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,no
431,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,yes
432,18 - 24,Male,Student - Part time or Distance Learning,Facebook,3-5 hours,Sometimes,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,yes
433,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,yes
434,25-34,Female,Student - Full time,Facebook,Less than an hour,Sometimes,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Agree,Agree,Neutral,no
435,25-34,Female,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,no
436,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Often,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,yes
